"","Наименование задачи","Достигнутые результаты","Личный вклад и метрики","Ссылка на рабочее пространство","Приобретенные навыки","План улучшений","Оценка взаимодействия (0-10)","Общая удовлетворенность (0-10)","Общий балл"
"Сотрудник 15","Работа над проектом A","Закрыл 11 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник15","Прокачался в CI/CD","Улучшить документацию по API","10","6","3"
"Сотрудник 16","Работа над проектом V","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 98.9%","https://example.com/Сотрудник16","Прокачался в контейнеризация","Улучшить документацию по документации","7","9","3"
"Сотрудник 17","Работа над проектом N","Сократил время обработки на 16%","Соблюдены сроки всех задач","https://example.com/Сотрудник17","Прокачался в оптимизация","Улучшить документацию по микросервисам","9","6","3"
"Сотрудник 18","Работа над проектом G","Снизил количество алертов на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник18","Прокачался в оптимизация","Улучшить документацию по базам данных","8","10","3"
"Сотрудник 19","Работа над проектом S","Закрыл 10 задач из бэклога","SLA соблюдены на 99.0%","https://example.com/Сотрудник19","Прокачался в автоматизация","Улучшить документацию по документации","6","7","3"
"Сотрудник 20","Работа над проектом A","Закрыл 12 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник20","Прокачался в автоматизация","Улучшить документацию по базам данных","9","9","3"
"Сотрудник 21","Работа над проектом I","Оптимизировал подписку (+2% конверсии)","Обновлена база знаний","https://example.com/Сотрудник21","Прокачался в микросервисы","Улучшить документацию по базам данных","9","10","3"
"Сотрудник 22","Работа над проектом R","Снизил количество алертов на 2%","Обновлена база знаний","https://example.com/Сотрудник22","Прокачался в микросервисы","Улучшить документацию по микросервисам","10","9","3"
"Сотрудник 23","Работа над проектом B","Улучшил производительность на 2%","SLA соблюдены на 99.5%","https://example.com/Сотрудник23","Прокачался в DevOps","Улучшить документацию по процессам","6","8","3"
"Сотрудник 24","Работа над проектом G","Закрыл 7 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник24","Прокачался в CI/CD","Улучшить документацию по базам данных","9","9","3"
"Сотрудник 25","Работа над проектом N","Закрыл 19 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник25","Прокачался в CI/CD","Улучшить документацию по микросервисам","10","7","3"
"Сотрудник 26","Работа над проектом K","Снизил количество алертов на 5%","SLA соблюдены на 98.9%","https://example.com/Сотрудник26","Прокачался в микросервисы","Улучшить документацию по базам данных","6","8","3"
"Сотрудник 27","Работа над проектом A","Закрыл 6 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник27","Прокачался в микросервисы","Улучшить документацию по базам данных","5","9","3"
"Сотрудник 28","Работа над проектом M","Оптимизировал подписку (+2% конверсии)","Обновлена база знаний","https://example.com/Сотрудник28","Прокачался в DevOps","Улучшить документацию по документации","9","6","3"
"Сотрудник 29","Работа над проектом C","Снизил количество алертов на 6%","Соблюдены сроки всех задач","https://example.com/Сотрудник29","Прокачался в контейнеризация","Улучшить документацию по API","6","7","3"
"Сотрудник 30","Работа над проектом Q","Снизил количество алертов на 4%","Соблюдены сроки всех задач","https://example.com/Сотрудник30","Прокачался в DevOps","Улучшить документацию по микросервисам","8","9","3"
"Сотрудник 31","Работа над проектом O","Улучшил производительность на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник31","Прокачался в автоматизация","Улучшить документацию по документации","7","6","3"
"Сотрудник 32","Работа над проектом E","Улучшил производительность на 1%","Запуск без багов","https://example.com/Сотрудник32","Прокачался в оптимизация","Улучшить документацию по базам данных","8","5","3"
"Сотрудник 33","Работа над проектом K","Закрыл 13 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник33","Прокачался в контейнеризация","Улучшить документацию по процессам","6","10","3"
"Сотрудник 34","Работа над проектом J","Улучшил производительность на 8%","Соблюдены сроки всех задач","https://example.com/Сотрудник34","Прокачался в оптимизация","Улучшить документацию по API","6","8","3"
"Сотрудник 35","Работа над проектом K","Улучшил производительность на 1%","SLA соблюдены на 98.5%","https://example.com/Сотрудник35","Прокачался в микросервисы","Улучшить документацию по процессам","5","5","2"
"Сотрудник 36","Работа над проектом X","Сократил время обработки на 11%","Соблюдены сроки всех задач","https://example.com/Сотрудник36","Прокачался в контейнеризация","Улучшить документацию по API","8","9","3"
"Сотрудник 37","Работа над проектом S","Снизил количество алертов на 7%","SLA соблюдены на 98.6%","https://example.com/Сотрудник37","Прокачался в автоматизация","Улучшить документацию по микросервисам","6","7","3"
"Сотрудник 38","Работа над проектом W","Сократил время обработки на 10%","SLA соблюдены на 99.0%","https://example.com/Сотрудник38","Прокачался в DevOps","Улучшить документацию по документации","7","10","3"
"Сотрудник 39","Работа над проектом P","Сократил время обработки на 6%","SLA соблюдены на 99.0%","https://example.com/Сотрудник39","Прокачался в микросервисы","Улучшить документацию по API","8","9","3"
"Сотрудник 40","Работа над проектом W","Закрыл 8 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник40","Прокачался в микросервисы","Улучшить документацию по процессам","10","7","3"
"Сотрудник 41","Работа над проектом O","Закрыл 13 задач из бэклога","Запуск без багов","https://example.com/Сотрудник41","Прокачался в автоматизация","Улучшить документацию по микросервисам","8","10","3"
"Сотрудник 42","Работа над проектом C","Улучшил производительность на 10%","SLA соблюдены на 99.5%","https://example.com/Сотрудник42","Прокачался в оптимизация","Улучшить документацию по базам данных","8","8","3"
"Сотрудник 43","Работа над проектом B","Снизил количество алертов на 9%","SLA соблюдены на 99.1%","https://example.com/Сотрудник43","Прокачался в CI/CD","Улучшить документацию по базам данных","5","5","2"
"Сотрудник 44","Работа над проектом L","Улучшил производительность на 10%","SLA соблюдены на 99.1%","https://example.com/Сотрудник44","Прокачался в CI/CD","Улучшить документацию по API","5","6","2"
"Сотрудник 45","Работа над проектом J","Улучшил производительность на 9%","Запуск без багов","https://example.com/Сотрудник45","Прокачался в микросервисы","Улучшить документацию по API","5","9","3"
"Сотрудник 46","Работа над проектом R","Закрыл 19 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник46","Прокачался в DevOps","Улучшить документацию по микросервисам","5","5","2"
"Сотрудник 47","Работа над проектом S","Закрыл 6 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник47","Прокачался в DevOps","Улучшить документацию по документации","5","5","2"
"Сотрудник 48","Работа над проектом J","Закрыл 20 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник48","Прокачался в автоматизация","Улучшить документацию по документации","7","8","3"
"Сотрудник 49","Работа над проектом E","Закрыл 19 задач из бэклога","SLA соблюдены на 98.8%","https://example.com/Сотрудник49","Прокачался в CI/CD","Улучшить документацию по API","8","7","3"
"Сотрудник 50","Работа над проектом H","Закрыл 6 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник50","Прокачался в микросервисы","Улучшить документацию по документации","10","10","3"
"Сотрудник 51","Работа над проектом O","Закрыл 17 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник51","Прокачался в автоматизация","Улучшить документацию по API","10","5","3"
"Сотрудник 52","Работа над проектом F","Оптимизировал подписку (+3% конверсии)","Обновлена база знаний","https://example.com/Сотрудник52","Прокачался в DevOps","Улучшить документацию по процессам","6","9","3"
"Сотрудник 53","Работа над проектом J","Закрыл 9 задач из бэклога","SLA соблюдены на 99.3%","https://example.com/Сотрудник53","Прокачался в контейнеризация","Улучшить документацию по документации","10","5","3"
"Сотрудник 54","Работа над проектом W","Улучшил производительность на 4%","Соблюдены сроки всех задач","https://example.com/Сотрудник54","Прокачался в DevOps","Улучшить документацию по микросервисам","6","8","3"
"Сотрудник 55","Работа над проектом N","Снизил количество алертов на 10%","Запуск без багов","https://example.com/Сотрудник55","Прокачался в микросервисы","Улучшить документацию по процессам","10","9","3"
"Сотрудник 56","Работа над проектом L","Закрыл 7 задач из бэклога","Запуск без багов","https://example.com/Сотрудник56","Прокачался в CI/CD","Улучшить документацию по микросервисам","10","7","3"
"Сотрудник 57","Работа над проектом N","Закрыл 11 задач из бэклога","Запуск без багов","https://example.com/Сотрудник57","Прокачался в оптимизация","Улучшить документацию по API","6","8","3"
"Сотрудник 58","Работа над проектом T","Сократил время обработки на 12%","Соблюдены сроки всех задач","https://example.com/Сотрудник58","Прокачался в CI/CD","Улучшить документацию по API","8","8","3"
"Сотрудник 59","Работа над проектом A","Оптимизировал подписку (+5% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник59","Прокачался в оптимизация","Улучшить документацию по API","9","8","3"
"Сотрудник 60","Работа над проектом T","Закрыл 12 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник60","Прокачался в автоматизация","Улучшить документацию по документации","6","6","2"
"Сотрудник 61","Работа над проектом H","Оптимизировал подписку (+2% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник61","Прокачался в контейнеризация","Улучшить документацию по базам данных","10","6","3"
"Сотрудник 62","Работа над проектом S","Снизил количество алертов на 3%","Достигнуты целевые показатели","https://example.com/Сотрудник62","Прокачался в микросервисы","Улучшить документацию по API","10","8","3"
"Сотрудник 63","Работа над проектом Y","Закрыл 9 задач из бэклога","SLA соблюдены на 99.2%","https://example.com/Сотрудник63","Прокачался в CI/CD","Улучшить документацию по базам данных","7","6","3"
"Сотрудник 64","Работа над проектом V","Оптимизировал подписку (+5% конверсии)","Обновлена база знаний","https://example.com/Сотрудник64","Прокачался в CI/CD","Улучшить документацию по микросервисам","7","7","3"
"Сотрудник 65","Работа над проектом E","Снизил количество алертов на 10%","SLA соблюдены на 98.6%","https://example.com/Сотрудник65","Прокачался в контейнеризация","Улучшить документацию по API","7","6","3"
"Сотрудник 66","Работа над проектом X","Сократил время обработки на 13%","Достигнуты целевые показатели","https://example.com/Сотрудник66","Прокачался в DevOps","Улучшить документацию по микросервисам","10","5","3"
"Сотрудник 67","Работа над проектом T","Снизил количество алертов на 5%","Обновлена база знаний","https://example.com/Сотрудник67","Прокачался в CI/CD","Улучшить документацию по документации","7","9","3"
"Сотрудник 68","Работа над проектом M","Закрыл 6 задач из бэклога","Запуск без багов","https://example.com/Сотрудник68","Прокачался в оптимизация","Улучшить документацию по процессам","10","7","3"
"Сотрудник 69","Работа над проектом C","Закрыл 20 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник69","Прокачался в CI/CD","Улучшить документацию по документации","6","6","2"
"Сотрудник 70","Работа над проектом M","Сократил время обработки на 20%","Достигнуты целевые показатели","https://example.com/Сотрудник70","Прокачался в микросервисы","Улучшить документацию по микросервисам","8","9","3"
"Сотрудник 71","Работа над проектом I","Оптимизировал подписку (+1% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник71","Прокачался в микросервисы","Улучшить документацию по базам данных","5","8","3"
"Сотрудник 72","Работа над проектом U","Сократил время обработки на 12%","Запуск без багов","https://example.com/Сотрудник72","Прокачался в оптимизация","Улучшить документацию по процессам","7","8","3"
"Сотрудник 73","Работа над проектом W","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник73","Прокачался в микросервисы","Улучшить документацию по документации","10","7","3"
"Сотрудник 74","Работа над проектом K","Сократил время обработки на 17%","Достигнуты целевые показатели","https://example.com/Сотрудник74","Прокачался в микросервисы","Улучшить документацию по документации","5","9","3"
"Сотрудник 75","Работа над проектом W","Закрыл 6 задач из бэклога","SLA соблюдены на 98.4%","https://example.com/Сотрудник75","Прокачался в автоматизация","Улучшить документацию по документации","8","10","3"
"Сотрудник 76","Работа над проектом A","Оптимизировал подписку (+1% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник76","Прокачался в CI/CD","Улучшить документацию по базам данных","6","6","2"
"Сотрудник 77","Работа над проектом G","Оптимизировал подписку (+1% конверсии)","Обновлена база знаний","https://example.com/Сотрудник77","Прокачался в микросервисы","Улучшить документацию по документации","8","8","3"
"Сотрудник 78","Работа над проектом U","Улучшил производительность на 7%","Обновлена база знаний","https://example.com/Сотрудник78","Прокачался в контейнеризация","Улучшить документацию по микросервисам","8","8","3"
"Сотрудник 79","Работа над проектом E","Закрыл 5 задач из бэклога","Запуск без багов","https://example.com/Сотрудник79","Прокачался в оптимизация","Улучшить документацию по микросервисам","8","6","3"
"Сотрудник 80","Работа над проектом F","Закрыл 6 задач из бэклога","SLA соблюдены на 99.2%","https://example.com/Сотрудник80","Прокачался в автоматизация","Улучшить документацию по процессам","5","5","2"
"Сотрудник 81","Работа над проектом J","Закрыл 19 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник81","Прокачался в DevOps","Улучшить документацию по микросервисам","5","10","3"
"Сотрудник 82","Работа над проектом Z","Снизил количество алертов на 7%","Запуск без багов","https://example.com/Сотрудник82","Прокачался в CI/CD","Улучшить документацию по процессам","5","5","2"
"Сотрудник 83","Работа над проектом C","Оптимизировал подписку (+4% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник83","Прокачался в оптимизация","Улучшить документацию по базам данных","10","8","3"
"Сотрудник 84","Работа над проектом Q","Сократил время обработки на 15%","SLA соблюдены на 99.1%","https://example.com/Сотрудник84","Прокачался в контейнеризация","Улучшить документацию по процессам","6","6","2"
"Сотрудник 85","Работа над проектом N","Улучшил производительность на 10%","Запуск без багов","https://example.com/Сотрудник85","Прокачался в оптимизация","Улучшить документацию по процессам","10","9","3"
"Сотрудник 86","Работа над проектом D","Оптимизировал подписку (+4% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник86","Прокачался в микросервисы","Улучшить документацию по микросервисам","7","10","3"
"Сотрудник 87","Работа над проектом J","Улучшил производительность на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник87","Прокачался в CI/CD","Улучшить документацию по микросервисам","9","10","3"
"Сотрудник 88","Работа над проектом N","Закрыл 18 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник88","Прокачался в DevOps","Улучшить документацию по микросервисам","8","8","3"
"Сотрудник 89","Работа над проектом V","Оптимизировал подписку (+2% конверсии)","Обновлена база знаний","https://example.com/Сотрудник89","Прокачался в контейнеризация","Улучшить документацию по базам данных","5","8","3"
"Сотрудник 90","Работа над проектом G","Улучшил производительность на 1%","Обновлена база знаний","https://example.com/Сотрудник90","Прокачался в контейнеризация","Улучшить документацию по API","7","5","2"
"Сотрудник 91","Работа над проектом H","Сократил время обработки на 6%","Соблюдены сроки всех задач","https://example.com/Сотрудник91","Прокачался в DevOps","Улучшить документацию по документации","7","6","3"
"Сотрудник 92","Работа над проектом J","Снизил количество алертов на 2%","SLA соблюдены на 98.6%","https://example.com/Сотрудник92","Прокачался в автоматизация","Улучшить документацию по API","5","7","2"
"Сотрудник 93","Работа над проектом G","Оптимизировал подписку (+5% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник93","Прокачался в оптимизация","Улучшить документацию по микросервисам","7","7","3"
"Сотрудник 94","Работа над проектом Z","Закрыл 18 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник94","Прокачался в оптимизация","Улучшить документацию по базам данных","6","7","3"
"Сотрудник 95","Работа над проектом O","Сократил время обработки на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник95","Прокачался в автоматизация","Улучшить документацию по микросервисам","10","5","3"
"Сотрудник 96","Работа над проектом B","Закрыл 17 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник96","Прокачался в микросервисы","Улучшить документацию по документации","8","9","3"
"Сотрудник 97","Работа над проектом L","Сократил время обработки на 11%","Достигнуты целевые показатели","https://example.com/Сотрудник97","Прокачался в DevOps","Улучшить документацию по процессам","9","9","3"
"Сотрудник 98","Работа над проектом H","Улучшил производительность на 10%","Запуск без багов","https://example.com/Сотрудник98","Прокачался в автоматизация","Улучшить документацию по микросервисам","10","10","3"
"Сотрудник 99","Работа над проектом B","Закрыл 11 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник99","Прокачался в оптимизация","Улучшить документацию по процессам","9","8","3"
"Сотрудник 100","Работа над проектом G","Улучшил производительность на 7%","Запуск без багов","https://example.com/Сотрудник100","Прокачался в контейнеризация","Улучшить документацию по процессам","8","10","3"
"Сотрудник 101","Работа над проектом Q","Оптимизировал подписку (+4% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник101","Прокачался в контейнеризация","Улучшить документацию по API","8","10","3"
"Сотрудник 102","Работа над проектом L","Закрыл 9 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник102","Прокачался в контейнеризация","Улучшить документацию по документации","10","7","3"
"Сотрудник 103","Работа над проектом F","Сократил время обработки на 11%","Достигнуты целевые показатели","https://example.com/Сотрудник103","Прокачался в микросервисы","Улучшить документацию по базам данных","8","5","3"
"Сотрудник 104","Работа над проектом T","Сократил время обработки на 13%","Достигнуты целевые показатели","https://example.com/Сотрудник104","Прокачался в оптимизация","Улучшить документацию по микросервисам","7","7","3"
"Сотрудник 105","Работа над проектом F","Сократил время обработки на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник105","Прокачался в автоматизация","Улучшить документацию по процессам","7","9","3"
"Сотрудник 106","Работа над проектом W","Закрыл 11 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник106","Прокачался в оптимизация","Улучшить документацию по API","6","7","3"
"Сотрудник 107","Работа над проектом A","Улучшил производительность на 2%","Обновлена база знаний","https://example.com/Сотрудник107","Прокачался в DevOps","Улучшить документацию по процессам","7","9","3"
"Сотрудник 108","Работа над проектом B","Оптимизировал подписку (+4% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник108","Прокачался в микросервисы","Улучшить документацию по документации","10","8","3"
"Сотрудник 109","Работа над проектом W","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 99.0%","https://example.com/Сотрудник109","Прокачался в оптимизация","Улучшить документацию по API","7","9","3"
"Сотрудник 110","Работа над проектом J","Закрыл 12 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник110","Прокачался в оптимизация","Улучшить документацию по процессам","8","7","3"
"Сотрудник 111","Работа над проектом J","Улучшил производительность на 4%","Запуск без багов","https://example.com/Сотрудник111","Прокачался в микросервисы","Улучшить документацию по базам данных","9","9","3"
"Сотрудник 112","Работа над проектом L","Снизил количество алертов на 7%","Запуск без багов","https://example.com/Сотрудник112","Прокачался в оптимизация","Улучшить документацию по API","7","5","2"
"Сотрудник 113","Работа над проектом T","Снизил количество алертов на 9%","Достигнуты целевые показатели","https://example.com/Сотрудник113","Прокачался в CI/CD","Улучшить документацию по базам данных","6","8","3"
"Сотрудник 114","Работа над проектом U","Оптимизировал подписку (+5% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник114","Прокачался в контейнеризация","Улучшить документацию по процессам","9","5","3"
"Сотрудник 115","Работа над проектом W","Сократил время обработки на 5%","Обновлена база знаний","https://example.com/Сотрудник115","Прокачался в автоматизация","Улучшить документацию по микросервисам","5","7","2"
"Сотрудник 116","Работа над проектом Q","Закрыл 8 задач из бэклога","Запуск без багов","https://example.com/Сотрудник116","Прокачался в DevOps","Улучшить документацию по API","6","10","3"
"Сотрудник 117","Работа над проектом Z","Закрыл 5 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник117","Прокачался в DevOps","Улучшить документацию по базам данных","10","7","3"
"Сотрудник 118","Работа над проектом I","Закрыл 19 задач из бэклога","SLA соблюдены на 99.7%","https://example.com/Сотрудник118","Прокачался в CI/CD","Улучшить документацию по микросервисам","8","8","3"
"Сотрудник 119","Работа над проектом X","Закрыл 8 задач из бэклога","Запуск без багов","https://example.com/Сотрудник119","Прокачался в CI/CD","Улучшить документацию по API","6","5","2"
"Сотрудник 120","Работа над проектом X","Улучшил производительность на 4%","Запуск без багов","https://example.com/Сотрудник120","Прокачался в оптимизация","Улучшить документацию по процессам","7","9","3"
"Сотрудник 121","Работа над проектом L","Снизил количество алертов на 5%","SLA соблюдены на 98.5%","https://example.com/Сотрудник121","Прокачался в оптимизация","Улучшить документацию по микросервисам","9","8","3"
"Сотрудник 122","Работа над проектом D","Снизил количество алертов на 3%","Запуск без багов","https://example.com/Сотрудник122","Прокачался в DevOps","Улучшить документацию по документации","7","6","3"
"Сотрудник 123","Работа над проектом N","Закрыл 12 задач из бэклога","Запуск без багов","https://example.com/Сотрудник123","Прокачался в CI/CD","Улучшить документацию по документации","9","9","3"
"Сотрудник 124","Работа над проектом R","Снизил количество алертов на 1%","Запуск без багов","https://example.com/Сотрудник124","Прокачался в автоматизация","Улучшить документацию по микросервисам","6","5","2"
"Сотрудник 125","Работа над проектом J","Оптимизировал подписку (+1% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник125","Прокачался в автоматизация","Улучшить документацию по базам данных","8","5","3"
"Сотрудник 126","Работа над проектом S","Снизил количество алертов на 10%","Запуск без багов","https://example.com/Сотрудник126","Прокачался в CI/CD","Улучшить документацию по базам данных","7","5","2"
"Сотрудник 127","Работа над проектом F","Закрыл 20 задач из бэклога","Запуск без багов","https://example.com/Сотрудник127","Прокачался в CI/CD","Улучшить документацию по базам данных","6","6","2"
"Сотрудник 128","Работа над проектом P","Улучшил производительность на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник128","Прокачался в микросервисы","Улучшить документацию по микросервисам","8","10","3"
"Сотрудник 129","Работа над проектом J","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник129","Прокачался в контейнеризация","Улучшить документацию по базам данных","8","7","3"
"Сотрудник 130","Работа над проектом Z","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 98.5%","https://example.com/Сотрудник130","Прокачался в DevOps","Улучшить документацию по микросервисам","8","9","3"
"Сотрудник 131","Работа над проектом X","Закрыл 12 задач из бэклога","Запуск без багов","https://example.com/Сотрудник131","Прокачался в CI/CD","Улучшить документацию по базам данных","5","9","3"
"Сотрудник 132","Работа над проектом J","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник132","Прокачался в микросервисы","Улучшить документацию по микросервисам","10","10","3"
"Сотрудник 133","Работа над проектом I","Сократил время обработки на 16%","Обновлена база знаний","https://example.com/Сотрудник133","Прокачался в автоматизация","Улучшить документацию по документации","8","9","3"
"Сотрудник 134","Работа над проектом S","Снизил количество алертов на 3%","Обновлена база знаний","https://example.com/Сотрудник134","Прокачался в автоматизация","Улучшить документацию по микросервисам","8","9","3"
"Сотрудник 135","Работа над проектом G","Оптимизировал подписку (+2% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник135","Прокачался в автоматизация","Улучшить документацию по API","7","7","3"
"Сотрудник 136","Работа над проектом G","Оптимизировал подписку (+2% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник136","Прокачался в оптимизация","Улучшить документацию по процессам","9","10","3"
"Сотрудник 137","Работа над проектом S","Сократил время обработки на 19%","Достигнуты целевые показатели","https://example.com/Сотрудник137","Прокачался в автоматизация","Улучшить документацию по процессам","7","5","2"
"Сотрудник 138","Работа над проектом F","Закрыл 18 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник138","Прокачался в DevOps","Улучшить документацию по API","8","6","3"
"Сотрудник 139","Работа над проектом I","Улучшил производительность на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник139","Прокачался в микросервисы","Улучшить документацию по документации","9","9","3"
"Сотрудник 140","Работа над проектом D","Сократил время обработки на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник140","Прокачался в CI/CD","Улучшить документацию по микросервисам","9","6","3"
"Сотрудник 141","Работа над проектом C","Улучшил производительность на 5%","Запуск без багов","https://example.com/Сотрудник141","Прокачался в CI/CD","Улучшить документацию по документации","8","9","3"
"Сотрудник 142","Работа над проектом J","Сократил время обработки на 5%","SLA соблюдены на 99.0%","https://example.com/Сотрудник142","Прокачался в автоматизация","Улучшить документацию по процессам","9","7","3"
"Сотрудник 143","Работа над проектом R","Снизил количество алертов на 3%","Соблюдены сроки всех задач","https://example.com/Сотрудник143","Прокачался в микросервисы","Улучшить документацию по микросервисам","5","8","3"
"Сотрудник 144","Работа над проектом X","Снизил количество алертов на 3%","Запуск без багов","https://example.com/Сотрудник144","Прокачался в CI/CD","Улучшить документацию по документации","10","5","3"
"Сотрудник 145","Работа над проектом N","Оптимизировал подписку (+3% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник145","Прокачался в контейнеризация","Улучшить документацию по документации","10","9","3"
"Сотрудник 146","Работа над проектом Y","Улучшил производительность на 6%","SLA соблюдены на 99.5%","https://example.com/Сотрудник146","Прокачался в оптимизация","Улучшить документацию по процессам","5","8","3"
"Сотрудник 147","Работа над проектом B","Сократил время обработки на 11%","Обновлена база знаний","https://example.com/Сотрудник147","Прокачался в CI/CD","Улучшить документацию по документации","7","10","3"
"Сотрудник 148","Работа над проектом A","Снизил количество алертов на 3%","Достигнуты целевые показатели","https://example.com/Сотрудник148","Прокачался в автоматизация","Улучшить документацию по документации","9","7","3"
